"Date","Price","Open","High","Low","Vol.","Change %"
"03/20/2025","25,291.30","25,509.67","25,520.25","25,191.09","","-0.95%"
"03/19/2025","25,532.73","25,323.97","25,565.16","25,298.48","","0.70%"
"03/18/2025","25,354.94","25,312.20","25,434.69","25,280.12","","0.50%"
"03/17/2025","25,228.11","25,103.89","25,270.66","25,030.39","","0.57%"
"03/14/2025","25,085.31","24,760.15","25,135.79","24,736.30","","1.13%"
"03/13/2025","24,803.88","24,945.61","25,098.95","24,771.45","","-0.64%"
"03/12/2025","24,962.46","25,015.81","25,223.33","24,805.89","","0.59%"
"03/11/2025","24,815.45","25,284.47","25,344.46","24,750.24","","-1.31%"
"03/10/2025","25,145.68","25,501.67","25,542.48","25,119.94","","-0.90%"
"03/07/2025","25,374.38","25,507.19","25,552.67","25,203.63","","-0.94%"
"03/06/2025","25,614.57","25,703.70","25,713.84","25,320.46","","0.29%"
"03/05/2025","25,539.85","25,540.88","25,763.24","25,470.22","","1.56%"
"03/04/2025","25,146.67","25,347.30","25,422.74","25,000.54","","-1.85%"
"03/03/2025","25,620.95","25,431.66","25,802.71","25,269.75","","1.09%"
"02/28/2025","25,345.74","25,143.92","25,345.74","25,095.31","","0.11%"
"02/27/2025","25,317.29","25,322.63","25,424.57","25,147.77","","-0.51%"
"02/26/2025","25,446.63","25,321.05","25,525.95","25,259.56","","1.15%"
"02/25/2025","25,156.52","25,201.16","25,331.63","25,131.70","","-0.49%"
"02/24/2025","25,281.25","25,430.84","25,467.64","25,199.01","","-0.78%"
"02/21/2025","25,479.74","25,428.88","25,561.62","25,393.37","","0.39%"
"02/20/2025","25,379.95","25,436.83","25,536.75","25,332.24","","0.15%"
"02/19/2025","25,342.35","25,638.87","25,648.96","25,300.48","","-1.17%"
"02/18/2025","25,642.35","25,640.42","25,700.38","25,498.79","","0.21%"
"02/17/2025","25,587.91","25,563.75","25,618.86","25,515.33","","0.14%"
"02/14/2025","25,553.27","25,509.79","25,659.84","25,481.14","","0.18%"
"02/13/2025","25,508.21","25,372.92","25,545.71","25,281.09","","1.52%"
"02/12/2025","25,127.26","25,119.19","25,204.99","24,947.69","","0.17%"
"02/11/2025","25,085.75","25,036.08","25,111.80","24,981.86","","0.28%"
"02/10/2025","25,014.87","24,925.97","25,039.58","24,905.30","","0.42%"
"02/07/2025","24,911.17","24,990.38","25,079.97","24,854.53","","-0.43%"
"02/06/2025","25,019.25","24,740.36","25,073.17","24,702.88","","1.47%"
"02/05/2025","24,657.02","24,647.40","24,685.22","24,552.45","","-0.19%"
"02/04/2025","24,703.00","24,590.19","24,731.53","24,395.89","","0.66%"
"02/03/2025","24,542.17","24,327.83","24,606.70","24,326.42","","-1.20%"
"01/31/2025","24,839.76","24,853.06","24,984.22","24,773.12","","0.11%"
"01/30/2025","24,813.09","24,696.99","24,844.99","24,649.31","","0.88%"
"01/29/2025","24,597.02","24,604.01","24,656.73","24,522.92","","-0.32%"
"01/28/2025","24,674.79","24,680.74","24,856.30","24,618.41","","-0.12%"
"01/27/2025","24,703.56","24,600.82","24,771.77","24,509.32","","-0.27%"
"01/24/2025","24,769.30","24,867.08","24,960.62","24,696.05","","0.44%"
"01/23/2025","24,659.93","24,531.14","24,673.52","24,462.43","","0.70%"
"01/22/2025","24,487.41","24,318.38","24,601.70","24,288.20","","0.86%"
"01/21/2025","24,279.81","24,134.18","24,291.70","24,099.53","","0.48%"
"01/20/2025","24,162.78","24,127.22","24,265.09","24,080.90","","0.31%"
"01/17/2025","24,088.57","24,011.39","24,159.10","23,957.67","","0.98%"
"01/16/2025","23,854.23","23,718.66","23,854.23","23,644.66","","2.14%"
"01/15/2025","23,353.85","23,268.87","23,479.83","23,169.29","","0.69%"
"01/14/2025","23,194.73","23,376.83","23,432.50","23,194.17","","0.21%"
"01/13/2025","23,145.74","23,148.62","23,195.31","22,972.07","","-0.30%"
"01/10/2025","23,215.72","23,416.20","23,497.45","23,173.69","","-0.79%"
"01/09/2025","23,400.78","23,184.98","23,444.00","23,159.83","","0.51%"
"01/08/2025","23,282.52","23,397.42","23,420.25","23,108.37","","-0.49%"
